Country,Share_co2,Global_EMs
China, 13.50262725, 27.74
United States, 8.207463549, 15.13
India,  6.292091425,  6.39
Russia,  2.599027868,  4.57
Japan,  1.170197108,  3.45
Germany,  1.002484018,  2.24
Saudi Arabia,  0.398658004,  1.9
South Korea,  0.496847747,  1.79
Iran,  0.798428492, 1.77
Canada,  2.140471992,  1.61
Indonesia, 8.824090992,  1.55
Brazil, 7.408493719,  1.49
Mexico, 1.326206286,  1.36
South Africa, 0.554560536,  1.27
United Kingdom, 0.630032061,  1.19
